starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:43:39 2021	1633596219	0	113	113	113
Thu Oct 07 16:43:40 2021	1633596220	0	113	113	113
Thu Oct 07 16:43:39 2021	1633596219	0	114	114	113
Thu Oct 07 16:43:39 2021	1633596219	0	114	114	114
Thu Oct 07 16:43:40 2021	1633596220	0	114	114	114
Thu Oct 07 16:43:38 2021	1633596218	0	115	115	108
Thu Oct 07 16:43:39 2021	1633596219	0	115	115	115
Thu Oct 07 16:43:40 2021	1633596220	0	115	115	115
Thu Oct 07 16:43:39 2021	1633596219	0	115	115	115
Thu Oct 07 16:43:40 2021	1633596220	0	115	115	115
Thu Oct 07 16:43:40 2021	1633596220	0	115	115	115
Thu Oct 07 16:43:39 2021	1633596219	0	115	115	115
Thu Oct 07 16:43:39 2021	1633596219	0	115	115	115
Thu Oct 07 16:43:39 2021	1633596219	0	115	115	115
Thu Oct 07 16:43:38 2021	1633596218	0	116	116	114
Thu Oct 07 16:43:38 2021	1633596218	0	116	116	115
Thu Oct 07 16:43:39 2021	1633596219	0	116	116	116
Thu Oct 07 16:43:40 2021	1633596220	0	116	116	116
Thu Oct 07 16:43:39 2021	1633596219	0	116	116	116
Thu Oct 07 16:43:40 2021	1633596220	0	117	117	116
Thu Oct 07 16:43:38 2021	1633596218	0	117	117	116
Thu Oct 07 16:43:39 2021	1633596219	0	117	117	116
Thu Oct 07 16:43:38 2021	1633596218	0	117	117	116
Thu Oct 07 16:43:38 2021	1633596218	0	117	117	117
Thu Oct 07 16:43:40 2021	1633596220	0	117	117	114
Thu Oct 07 16:43:39 2021	1633596219	0	117	117	117
Thu Oct 07 16:43:40 2021	1633596220	0	117	117	117
Thu Oct 07 16:43:39 2021	1633596219	0	117	117	117
Thu Oct 07 16:43:39 2021	1633596219	0	118	118	115
Thu Oct 07 16:43:40 2021	1633596220	0	118	118	117
Thu Oct 07 16:43:40 2021	1633596220	0	118	118	118
Thu Oct 07 16:43:40 2021	1633596220	0	118	118	117
Thu Oct 07 16:43:38 2021	1633596218	0	118	118	117
Thu Oct 07 16:43:38 2021	1633596218	1	117	118	117
Thu Oct 07 16:43:40 2021	1633596220	0	118	118	118
Thu Oct 07 16:43:40 2021	1633596220	0	118	118	118
Thu Oct 07 16:43:38 2021	1633596218	0	119	119	119
Thu Oct 07 16:43:39 2021	1633596219	0	119	119	118
Thu Oct 07 16:43:39 2021	1633596219	0	120	120	119
Thu Oct 07 16:43:40 2021	1633596220	0	120	120	119
Thu Oct 07 16:43:40 2021	1633596220	0	120	120	117
Thu Oct 07 16:43:39 2021	1633596219	0	120	120	120
Thu Oct 07 16:43:40 2021	1633596220	0	120	120	120
Thu Oct 07 16:43:39 2021	1633596219	0	121	121	120
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	120
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	121
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	121
Thu Oct 07 16:43:38 2021	1633596218	0	121	121	121
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	121
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	120
Thu Oct 07 16:43:39 2021	1633596219	0	121	121	120
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	121
Thu Oct 07 16:43:38 2021	1633596218	1	120	121	120
Thu Oct 07 16:43:40 2021	1633596220	0	121	121	121
Thu Oct 07 16:43:38 2021	1633596218	0	122	122	121
Thu Oct 07 16:43:39 2021	1633596219	0	122	122	122
Thu Oct 07 16:43:39 2021	1633596219	0	122	122	121
Thu Oct 07 16:43:39 2021	1633596219	0	122	122	122
Thu Oct 07 16:43:38 2021	1633596218	1	121	122	121
Thu Oct 07 16:43:40 2021	1633596220	0	122	122	122
Thu Oct 07 16:43:40 2021	1633596220	0	122	122	122
Thu Oct 07 16:43:38 2021	1633596218	0	122	122	122
Thu Oct 07 16:43:38 2021	1633596218	0	122	123	122
Thu Oct 07 16:43:39 2021	1633596219	0	123	123	122
Thu Oct 07 16:43:38 2021	1633596218	1	122	123	121
Thu Oct 07 16:43:39 2021	1633596219	0	123	123	122
Thu Oct 07 16:43:39 2021	1633596219	0	123	123	122
Thu Oct 07 16:43:39 2021	1633596219	0	123	123	122
Thu Oct 07 16:43:40 2021	1633596220	0	123	123	123
Thu Oct 07 16:43:38 2021	1633596218	0	123	123	121
Thu Oct 07 16:43:38 2021	1633596218	1	122	123	122
Thu Oct 07 16:43:41 2021	1633596221	0	123	123	123
Thu Oct 07 16:43:40 2021	1633596220	0	123	123	123
Thu Oct 07 16:43:38 2021	1633596218	1	122	123	122
Thu Oct 07 16:43:38 2021	1633596218	0	123	123	123
Thu Oct 07 16:43:39 2021	1633596219	0	123	123	123
Thu Oct 07 16:43:38 2021	1633596218	0	123	123	123
Thu Oct 07 16:43:39 2021	1633596219	0	124	124	123
Thu Oct 07 16:43:40 2021	1633596220	0	124	124	123
Thu Oct 07 16:43:40 2021	1633596220	0	124	124	123
Thu Oct 07 16:43:38 2021	1633596218	1	123	124	123
Thu Oct 07 16:43:39 2021	1633596219	0	124	124	124
Thu Oct 07 16:43:41 2021	1633596221	0	124	124	124
Thu Oct 07 16:43:38 2021	1633596218	0	124	124	124
Thu Oct 07 16:43:39 2021	1633596219	0	124	124	124
Thu Oct 07 16:43:40 2021	1633596220	0	124	124	124
Thu Oct 07 16:43:38 2021	1633596218	0	124	124	124
Thu Oct 07 16:43:38 2021	1633596218	0	124	124	123
Thu Oct 07 16:43:38 2021	1633596218	0	124	124	123
Thu Oct 07 16:43:38 2021	1633596218	0	125	125	124
Thu Oct 07 16:43:39 2021	1633596219	0	125	125	124
Thu Oct 07 16:43:38 2021	1633596218	0	125	125	125
Thu Oct 07 16:43:39 2021	1633596219	0	125	125	125
Thu Oct 07 16:43:39 2021	1633596219	0	125	125	124
Thu Oct 07 16:43:40 2021	1633596220	0	125	125	125
Thu Oct 07 16:43:38 2021	1633596218	0	126	126	125
Thu Oct 07 16:43:38 2021	1633596218	1	125	126	125
Thu Oct 07 16:43:39 2021	1633596219	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
