starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:50:02 2021	1633596602	0	107	107	107
Thu Oct 07 16:50:00 2021	1633596600	1	106	107	106
Thu Oct 07 16:50:01 2021	1633596601	0	107	107	107
Thu Oct 07 16:50:00 2021	1633596600	1	107	108	107
Thu Oct 07 16:50:02 2021	1633596602	0	108	108	107
Thu Oct 07 16:50:03 2021	1633596603	0	108	108	108
Thu Oct 07 16:50:00 2021	1633596600	1	108	108	107
Thu Oct 07 16:50:01 2021	1633596601	0	108	108	108
Thu Oct 07 16:50:03 2021	1633596603	0	108	108	108
Thu Oct 07 16:50:01 2021	1633596601	0	109	109	108
Thu Oct 07 16:50:00 2021	1633596600	1	108	109	108
Thu Oct 07 16:50:02 2021	1633596602	0	109	109	109
Thu Oct 07 16:50:01 2021	1633596601	0	109	109	108
Thu Oct 07 16:50:01 2021	1633596601	0	109	109	108
Thu Oct 07 16:50:01 2021	1633596601	0	109	109	109
Thu Oct 07 16:50:01 2021	1633596601	0	109	109	109
Thu Oct 07 16:50:03 2021	1633596603	1	108	109	108
Thu Oct 07 16:50:00 2021	1633596600	0	109	109	109
Thu Oct 07 16:50:03 2021	1633596603	0	110	110	109
Thu Oct 07 16:50:03 2021	1633596603	0	110	110	109
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	109
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	110
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	110
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	110
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	110
Thu Oct 07 16:50:02 2021	1633596602	0	110	110	109
Thu Oct 07 16:50:01 2021	1633596601	0	110	110	110
Thu Oct 07 16:50:01 2021	1633596601	0	111	111	105
Thu Oct 07 16:50:03 2021	1633596603	0	111	111	110
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	110
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	110
Thu Oct 07 16:50:01 2021	1633596601	0	111	111	111
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	111
Thu Oct 07 16:50:03 2021	1633596603	0	111	111	111
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	111
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	111
Thu Oct 07 16:50:00 2021	1633596600	1	110	111	110
Thu Oct 07 16:50:01 2021	1633596601	0	111	111	111
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	111
Thu Oct 07 16:50:00 2021	1633596600	1	110	111	110
Thu Oct 07 16:50:02 2021	1633596602	0	111	111	111
Thu Oct 07 16:50:01 2021	1633596601	0	111	111	111
Thu Oct 07 16:50:02 2021	1633596602	0	111	112	111
Thu Oct 07 16:50:01 2021	1633596601	0	112	112	111
Thu Oct 07 16:50:01 2021	1633596601	0	112	112	111
Thu Oct 07 16:50:00 2021	1633596600	0	112	112	112
Thu Oct 07 16:50:01 2021	1633596601	0	112	112	112
Thu Oct 07 16:50:01 2021	1633596601	0	112	112	112
Thu Oct 07 16:50:00 2021	1633596600	1	111	112	111
Thu Oct 07 16:50:02 2021	1633596602	0	112	112	112
Thu Oct 07 16:50:03 2021	1633596603	0	112	112	112
Thu Oct 07 16:50:03 2021	1633596603	0	112	112	112
Thu Oct 07 16:50:00 2021	1633596600	1	111	112	111
Thu Oct 07 16:50:01 2021	1633596601	0	113	113	112
Thu Oct 07 16:50:01 2021	1633596601	0	113	113	112
Thu Oct 07 16:50:01 2021	1633596601	0	113	113	113
Thu Oct 07 16:50:03 2021	1633596603	0	113	113	113
Thu Oct 07 16:50:03 2021	1633596603	0	113	113	113
Thu Oct 07 16:50:02 2021	1633596602	0	113	113	113
Thu Oct 07 16:50:03 2021	1633596603	0	114	114	113
Thu Oct 07 16:50:03 2021	1633596603	0	114	114	114
Thu Oct 07 16:50:03 2021	1633596603	0	114	114	114
Thu Oct 07 16:50:02 2021	1633596602	0	114	114	114
Thu Oct 07 16:50:01 2021	1633596601	0	114	114	114
Thu Oct 07 16:50:02 2021	1633596602	0	114	114	114
Thu Oct 07 16:50:01 2021	1633596601	0	114	114	114
Thu Oct 07 16:50:03 2021	1633596603	0	114	114	114
Thu Oct 07 16:50:00 2021	1633596600	0	115	115	114
Thu Oct 07 16:50:02 2021	1633596602	0	115	115	114
Thu Oct 07 16:50:00 2021	1633596600	1	114	115	114
Thu Oct 07 16:50:02 2021	1633596602	0	115	115	114
Thu Oct 07 16:50:02 2021	1633596602	0	115	115	114
Thu Oct 07 16:50:01 2021	1633596601	0	115	115	114
Thu Oct 07 16:50:01 2021	1633596601	0	115	115	115
Thu Oct 07 16:50:02 2021	1633596602	0	115	115	115
Thu Oct 07 16:50:03 2021	1633596603	0	115	115	115
Thu Oct 07 16:50:01 2021	1633596601	0	115	115	115
Thu Oct 07 16:50:03 2021	1633596603	0	116	116	115
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	115
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	115
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	115
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	115
Thu Oct 07 16:50:03 2021	1633596603	0	116	116	116
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	116
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	116
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	115
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	116
Thu Oct 07 16:50:03 2021	1633596603	0	116	116	116
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	116
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	116
Thu Oct 07 16:50:01 2021	1633596601	0	116	116	116
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	116
Thu Oct 07 16:50:03 2021	1633596603	0	116	116	116
Thu Oct 07 16:50:02 2021	1633596602	0	116	116	116
Thu Oct 07 16:50:03 2021	1633596603	0	116	117	116
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:01 2021	1633596601	0	117	117	116
Thu Oct 07 16:50:01 2021	1633596601	0	117	117	117
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	115
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	117
Thu Oct 07 16:50:02 2021	1633596602	0	117	117	117
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:02 2021	1633596602	0	117	117	117
Thu Oct 07 16:50:01 2021	1633596601	0	117	117	117
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:03 2021	1633596603	0	117	117	116
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	117
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	117
Thu Oct 07 16:50:00 2021	1633596600	0	118	118	117
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	117
Thu Oct 07 16:50:01 2021	1633596601	0	118	118	117
Thu Oct 07 16:50:00 2021	1633596600	0	118	118	118
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	117
Thu Oct 07 16:50:03 2021	1633596603	0	118	118	118
Thu Oct 07 16:50:03 2021	1633596603	0	118	118	118
Thu Oct 07 16:50:01 2021	1633596601	0	118	118	118
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	118
Thu Oct 07 16:50:02 2021	1633596602	0	118	118	118
Thu Oct 07 16:50:01 2021	1633596601	0	118	118	118
Thu Oct 07 16:50:03 2021	1633596603	0	118	119	118
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	118
Thu Oct 07 16:50:00 2021	1633596600	0	119	119	119
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	119
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	119
Thu Oct 07 16:50:03 2021	1633596603	0	119	119	119
Thu Oct 07 16:50:00 2021	1633596600	0	119	119	119
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	119
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	118
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	119
Thu Oct 07 16:50:01 2021	1633596601	0	119	119	119
Thu Oct 07 16:50:01 2021	1633596601	0	119	119	119
Thu Oct 07 16:50:02 2021	1633596602	0	119	119	119
Thu Oct 07 16:50:01 2021	1633596601	0	119	119	119
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	119
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	119
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	119
Thu Oct 07 16:50:01 2021	1633596601	0	120	120	119
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	120
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	120
Thu Oct 07 16:50:02 2021	1633596602	0	120	120	120
Thu Oct 07 16:50:01 2021	1633596601	0	120	120	120
Thu Oct 07 16:50:02 2021	1633596602	0	120	120	120
Thu Oct 07 16:50:03 2021	1633596603	0	120	120	120
Thu Oct 07 16:50:02 2021	1633596602	0	120	120	120
Thu Oct 07 16:50:01 2021	1633596601	0	120	120	120
Thu Oct 07 16:50:02 2021	1633596602	0	120	120	120
Thu Oct 07 16:50:00 2021	1633596600	0	121	121	120
Thu Oct 07 16:50:03 2021	1633596603	0	121	121	120
Thu Oct 07 16:50:02 2021	1633596602	0	121	121	120
Thu Oct 07 16:50:02 2021	1633596602	0	121	121	120
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	120
Thu Oct 07 16:50:03 2021	1633596603	0	121	121	120
Thu Oct 07 16:50:02 2021	1633596602	0	121	121	120
Thu Oct 07 16:50:00 2021	1633596600	0	121	121	121
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	119
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	120
Thu Oct 07 16:50:00 2021	1633596600	0	121	121	120
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:00 2021	1633596600	1	120	121	120
Thu Oct 07 16:50:02 2021	1633596602	0	121	121	121
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:00 2021	1633596600	0	121	121	120
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:01 2021	1633596601	0	121	121	121
Thu Oct 07 16:50:02 2021	1633596602	0	121	121	121
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	121
Thu Oct 07 16:50:00 2021	1633596600	1	121	122	120
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	121
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	122
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	122
Thu Oct 07 16:50:01 2021	1633596601	0	122	122	122
Thu Oct 07 16:50:02 2021	1633596602	0	122	122	122
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	122
Thu Oct 07 16:50:03 2021	1633596603	0	122	122	122
Thu Oct 07 16:50:01 2021	1633596601	0	122	122	122
Thu Oct 07 16:50:00 2021	1633596600	0	122	122	122
Thu Oct 07 16:50:02 2021	1633596602	0	122	122	122
Thu Oct 07 16:50:01 2021	1633596601	0	122	122	122
Thu Oct 07 16:50:02 2021	1633596602	0	122	122	122
Thu Oct 07 16:50:01 2021	1633596601	0	122	122	122
Thu Oct 07 16:50:02 2021	1633596602	0	122	122	122
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	122
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	122
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	122
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	122
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	122
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	121
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	123
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	123
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	122
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:03 2021	1633596603	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:01 2021	1633596601	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	123	123	123
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	122
Thu Oct 07 16:50:00 2021	1633596600	1	123	124	122
Thu Oct 07 16:50:01 2021	1633596601	0	124	124	123
Thu Oct 07 16:50:00 2021	1633596600	1	123	124	123
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	123
Thu Oct 07 16:50:00 2021	1633596600	0	124	124	123
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:00 2021	1633596600	1	123	124	122
Thu Oct 07 16:50:00 2021	1633596600	1	123	124	123
Thu Oct 07 16:50:01 2021	1633596601	0	124	124	124
Thu Oct 07 16:50:03 2021	1633596603	0	124	124	123
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:03 2021	1633596603	0	124	124	124
Thu Oct 07 16:50:03 2021	1633596603	0	124	124	124
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:01 2021	1633596601	0	124	124	124
Thu Oct 07 16:50:02 2021	1633596602	0	124	124	124
Thu Oct 07 16:50:01 2021	1633596601	0	124	124	124
Thu Oct 07 16:50:01 2021	1633596601	0	125	125	124
Thu Oct 07 16:50:02 2021	1633596602	0	125	125	124
Thu Oct 07 16:50:03 2021	1633596603	0	125	125	124
Thu Oct 07 16:50:01 2021	1633596601	0	125	125	125
Thu Oct 07 16:50:02 2021	1633596602	0	125	125	125
Thu Oct 07 16:50:00 2021	1633596600	1	124	125	124
Thu Oct 07 16:50:03 2021	1633596603	0	125	125	124
Thu Oct 07 16:50:03 2021	1633596603	0	125	125	125
Thu Oct 07 16:50:02 2021	1633596602	0	125	125	125
Thu Oct 07 16:50:03 2021	1633596603	0	125	125	125
Thu Oct 07 16:50:01 2021	1633596601	0	125	125	125
Thu Oct 07 16:50:03 2021	1633596603	0	125	126	125
Thu Oct 07 16:50:01 2021	1633596601	0	126	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	125
Thu Oct 07 16:50:00 2021	1633596600	1	125	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	124
Thu Oct 07 16:50:03 2021	1633596603	0	126	126	118
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	126
Thu Oct 07 16:50:00 2021	1633596600	0	126	126	126
Thu Oct 07 16:50:01 2021	1633596601	0	126	126	126
Thu Oct 07 16:50:00 2021	1633596600	0	126	126	126
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	126
Thu Oct 07 16:50:03 2021	1633596603	0	126	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	126
Thu Oct 07 16:50:00 2021	1633596600	1	126	126	125
Thu Oct 07 16:50:02 2021	1633596602	0	126	126	126
Thu Oct 07 16:50:02 2021	1633596602	0	126	127	126
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	126
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	126
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	126
Thu Oct 07 16:50:03 2021	1633596603	0	127	127	127
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	126
Thu Oct 07 16:50:00 2021	1633596600	0	127	127	126
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	127
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	127
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	127
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:03 2021	1633596603	0	127	127	127
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	127
